DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag,timestamp,temperature,windspeed,solar_irradiance
04/16/2025,13,3,LZ_AEN,LZ,0.2,N,2025-04-16 12:00:00,79.6,9.4,986.0
04/16/2025,13,3,LZ_HOUSTON,LZ,21.57,N,2025-04-16 12:00:00,77.3,15.2,826.0
04/16/2025,13,3,LZ_NORTH,LZ,15.32,N,2025-04-16 12:00:00,75.3,14.9,1164.0
04/12/2025,15,4,LZ_AEN,LZ,14.49,N,2025-04-12 14:00:00,86.5,10.2,850.0
04/12/2025,15,4,LZ_HOUSTON,LZ,17.2,N,2025-04-12 14:00:00,80.8,6.8,889.0
04/12/2025,15,4,LZ_NORTH,LZ,-1.27,N,2025-04-12 14:00:00,78.9,15.9,16.0
04/14/2025,7,1,LZ_AEN,LZ,29.11,N,2025-04-14 06:00:00,66.1,11.8,0.0
04/14/2025,7,1,LZ_HOUSTON,LZ,26.67,N,2025-04-14 06:00:00,69.8,9.9,0.0
04/14/2025,7,1,LZ_NORTH,LZ,25.34,N,2025-04-14 06:00:00,65.0,13.1,0.0
04/14/2025,18,1,LZ_AEN,LZ,54.76,N,2025-04-14 17:00:00,90.8,8.0,507.0
04/14/2025,18,1,LZ_HOUSTON,LZ,32.79,N,2025-04-14 17:00:00,82.6,8.7,75.0
04/14/2025,18,1,LZ_NORTH,LZ,20.03,N,2025-04-14 17:00:00,84.9,3.7,461.0
04/12/2025,4,4,LZ_AEN,LZ,15.1,N,2025-04-12 03:00:00,63.3,2.4,0.0
04/12/2025,4,4,LZ_HOUSTON,LZ,16.51,N,2025-04-12 03:00:00,68.8,7.8,0.0
04/12/2025,4,4,LZ_NORTH,LZ,16.01,N,2025-04-12 03:00:00,60.7,6.3,0.0
04/18/2025,8,4,LZ_AEN,LZ,14.93,N,2025-04-18 07:00:00,70.1,11.2,9.0
04/18/2025,8,4,LZ_HOUSTON,LZ,14.55,N,2025-04-18 07:00:00,71.9,17.3,8.0
04/18/2025,8,4,LZ_NORTH,LZ,14.58,N,2025-04-18 07:00:00,68.7,15.2,12.0
04/12/2025,17,2,LZ_AEN,LZ,17.27,N,2025-04-12 16:00:00,89.4,12.0,685.0
04/12/2025,17,2,LZ_HOUSTON,LZ,16.74,N,2025-04-12 16:00:00,81.0,9.4,665.0
