DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag,timestamp
04/14/2025,24,1,LZ_AEN,LZ,28.6,N,2025-04-14 23:00:00
04/14/2025,24,1,LZ_HOUSTON,LZEW,28.69,N,2025-04-14 23:00:00
04/14/2025,24,1,LZ_HOUSTON,LZ,28.69,N,2025-04-14 23:00:00
04/14/2025,24,1,LZ_NORTH,LZEW,29.34,N,2025-04-14 23:00:00
04/14/2025,24,1,LZ_NORTH,LZ,29.34,N,2025-04-14 23:00:00
04/18/2025,7,4,LZ_AEN,LZEW,18.84,N,2025-04-18 06:00:00
04/18/2025,7,4,LZ_AEN,LZ,18.84,N,2025-04-18 06:00:00
04/18/2025,7,4,LZ_HOUSTON,LZEW,18.46,N,2025-04-18 06:00:00
04/18/2025,7,4,LZ_HOUSTON,LZ,18.45,N,2025-04-18 06:00:00
04/18/2025,7,4,LZ_NORTH,LZEW,16.73,N,2025-04-18 06:00:00
04/18/2025,7,4,LZ_NORTH,LZ,16.73,N,2025-04-18 06:00:00
04/12/2025,20,2,LZ_AEN,LZEW,94.56,N,2025-04-12 19:00:00
04/12/2025,20,2,LZ_AEN,LZ,94.59,N,2025-04-12 19:00:00
04/12/2025,20,2,LZ_HOUSTON,LZ,46.85,N,2025-04-12 19:00:00
04/12/2025,20,2,LZ_HOUSTON,LZEW,46.81,N,2025-04-12 19:00:00
04/12/2025,20,2,LZ_NORTH,LZ,34.37,N,2025-04-12 19:00:00
04/12/2025,20,2,LZ_NORTH,LZEW,34.38,N,2025-04-12 19:00:00
04/13/2025,12,2,LZ_AEN,LZ,-6.32,N,2025-04-13 11:00:00
04/13/2025,12,2,LZ_AEN,LZEW,-6.32,N,2025-04-13 11:00:00
04/13/2025,12,2,LZ_HOUSTON,LZEW,15.84,N,2025-04-13 11:00:00
04/13/2025,12,2,LZ_HOUSTON,LZ,15.84,N,2025-04-13 11:00:00
04/13/2025,12,2,LZ_NORTH,LZ,-3.41,N,2025-04-13 11:00:00
04/13/2025,12,2,LZ_NORTH,LZEW,-3.41,N,2025-04-13 11:00:00
04/13/2025,1,2,LZ_AEN,LZEW,16.9,N,2025-04-13 00:00:00
04/13/2025,1,2,LZ_AEN,LZ,16.9,N,2025-04-13 00:00:00
04/13/2025,1,2,LZ_HOUSTON,LZ,18.31,N,2025-04-13 00:00:00
04/13/2025,1,2,LZ_HOUSTON,LZEW,18.31,N,2025-04-13 00:00:00
04/13/2025,1,2,LZ_NORTH,LZ,17.57,N,2025-04-13 00:00:00
04/13/2025,1,2,LZ_NORTH,LZEW,17.57,N,2025-04-13 00:00:00
04/12/2025,9,2,LZ_AEN,LZ,-0.75,N,2025-04-12 08:00:00
04/12/2025,9,2,LZ_AEN,LZEW,-0.75,N,2025-04-12 08:00:00
04/12/2025,9,2,LZ_HOUSTON,LZEW,-0.97,N,2025-04-12 08:00:00
04/12/2025,9,2,LZ_HOUSTON,LZ,-0.97,N,2025-04-12 08:00:00
04/12/2025,9,2,LZ_NORTH,LZEW,-1.75,N,2025-04-12 08:00:00
04/12/2025,9,2,LZ_NORTH,LZ,-1.75,N,2025-04-12 08:00:00
04/11/2025,3,1,LZ_AEN,LZEW,29.27,N,2025-04-11 02:00:00
04/11/2025,3,1,LZ_AEN,LZ,29.27,N,2025-04-11 02:00:00
04/11/2025,3,1,LZ_HOUSTON,LZEW,28.69,N,2025-04-11 02:00:00
04/11/2025,3,1,LZ_HOUSTON,LZ,28.69,N,2025-04-11 02:00:00
04/11/2025,3,1,LZ_NORTH,LZEW,29.35,N,2025-04-11 02:00:00
